BPLP - 1 Digit Level,Oceania and Antarctica,North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Supplementary codes,Not stated,Total
"2423, NSW",2440,178,15,7,15,8,6,10,5,0,283,2959
"2424, NSW",342,24,0,0,4,0,0,0,6,0,52,429
"2425, NSW",1533,81,9,0,7,3,0,10,5,0,128,1782
"2426, NSW",607,27,7,0,3,0,0,0,0,0,79,719
"2427, NSW",2642,183,18,12,21,5,6,11,8,0,209,3113
"2428, NSW",19726,1433,230,41,160,73,60,105,96,6,2079,24012
"2429, NSW",8214,427,46,9,49,16,4,41,19,0,881,9715
"2430, NSW",28662,1594,198,73,253,88,167,155,126,11,2706,34017
"2431, NSW",4334,238,26,0,30,16,7,25,14,0,433,5133
"2439, NSW",2400,166,13,5,15,9,5,7,11,0,310,2941
"2440, NSW",18388,675,73,26,157,74,74,71,46,0,2233,21816
"2441, NSW",3539,218,33,3,30,12,0,22,16,0,481,4349
"2443, NSW",7199,603,48,8,44,20,33,55,22,0,858,8892
"2444, NSW",37865,3240,382,126,376,241,244,379,319,6,3113,46289
"2445, NSW",5626,362,39,8,20,15,14,38,25,0,313,6464
"2446, NSW",11382,552,50,22,70,22,23,58,34,4,1114,13330
"2447, NSW",6088,263,41,6,33,10,7,29,16,3,677,7180
"2448, NSW",7322,597,69,11,55,21,22,38,29,0,835,9002
"2449, NSW",1839,107,8,3,16,0,6,13,4,0,193,2188
"2450, NSW",34638,2476,383,256,744,228,563,325,586,18,3687,43896
"2452, NSW",12871,827,90,24,146,44,53,72,63,4,929,15119
"2453, NSW",2307,162,15,0,21,6,8,13,8,0,223,2771
"2454, NSW",6078,632,44,14,41,18,18,99,52,0,589,7571
"2455, NSW",2512,176,4,0,4,8,3,5,9,0,268,3001
"2456, NSW",11583,784,73,20,113,162,698,95,81,3,1138,14749
"2460, NSW",25233,906,79,16,185,63,97,112,77,3,2445,29212
"2462, NSW",2070,103,5,0,9,6,0,14,4,0,234,2443
"2463, NSW",6415,368,17,11,37,26,16,24,18,0,610,7541
"2464, NSW",5459,417,37,11,48,28,18,51,38,0,630,6740
"2465, NSW",255,10,0,0,6,0,0,0,0,0,25,292
"2466, NSW",1461,84,4,0,6,3,0,8,0,0,153,1725
"2469, NSW",3213,238,17,0,31,13,5,21,13,0,461,4009
"2470, NSW",13319,338,50,11,124,11,13,52,27,3,1278,15225
"2471, NSW",2102,75,11,0,17,7,3,10,9,0,292,2522
"2472, NSW",1556,58,4,0,10,3,5,10,0,0,207,1855
"2473, NSW",2636,101,3,0,10,9,4,17,7,0,297,3092
"2474, NSW",5186,283,20,8,43,22,17,44,28,0,673,6332
"2475, NSW",296,7,0,0,0,0,4,0,0,0,71,386
"2476, NSW",680,25,0,0,7,0,4,5,4,0,54,780
"2477, NSW",10417,615,74,4,61,31,28,69,115,3,786,12207
