,postcode,average_salary
839,"3254, VIC",542.92
840,"3260, VIC",540.13
841,"3264, VIC",493.11
842,"3265, VIC",565.49
843,"3266, VIC",543.73
844,"3267, VIC",473.88
845,"3268, VIC",589.24
846,"3269, VIC",604.53
847,"3270, VIC",597.01
848,"3271, VIC",587.31
849,"3272, VIC",494.81
850,"3273, VIC",499.83
851,"3274, VIC",571.49
852,"3275, VIC",568.78
853,"3276, VIC",520.51
854,"3277, VIC",604.59
855,"3278, VIC",581.35
856,"3279, VIC",503.61
857,"3280, VIC",576.50
858,"3281, VIC",600.24
859,"3282, VIC",574.96
860,"3283, VIC",568.04
861,"3284, VIC",586.71
862,"3285, VIC",579.50
863,"3286, VIC",493.75
864,"3287, VIC",569.21
865,"3289, VIC",529.69
866,"3292, VIC",549.06
867,"3293, VIC",494.29
868,"3294, VIC",557.99
869,"3300, VIC",560.71
870,"3301, VIC",650.45
871,"3302, VIC",575.81
872,"3303, VIC",595.86
873,"3304, VIC",535.07
874,"3305, VIC",569.78
875,"3309, VIC",295.63
876,"3310, VIC",442.10
877,"3311, VIC",461.04
878,"3312, VIC",500.85
879,"3314, VIC",626.00
880,"3315, VIC",510.37
881,"3317, VIC",601.52
882,"3318, VIC",530.59
883,"3319, VIC",630.51
884,"3321, VIC",636.70
885,"3322, VIC",449.01
886,"3323, VIC",482.95
887,"3324, VIC",493.97
888,"3325, VIC",508.33
889,"3328, VIC",597.62
890,"3329, VIC",501.67
891,"3330, VIC",513.29
892,"3331, VIC",581.40
893,"3332, VIC",534.43
894,"3333, VIC",576.06
895,"3334, VIC",546.51
896,"3335, VIC",571.31
897,"3337, VIC",505.21
898,"3338, VIC",521.90
899,"3340, VIC",602.35
900,"3341, VIC",646.61
901,"3342, VIC",587.25
902,"3345, VIC",606.26
903,"3350, VIC",616.45
904,"3351, VIC",532.81
905,"3352, VIC",574.36
906,"3355, VIC",486.56
907,"3356, VIC",479.03
908,"3357, VIC",650.66
909,"3360, VIC",492.97
910,"3361, VIC",448.75
911,"3363, VIC",506.41
912,"3364, VIC",550.72
913,"3370, VIC",463.41
914,"3371, VIC",469.32
915,"3373, VIC",485.93
916,"3374, VIC",569.05
917,"3375, VIC",420.15
918,"3377, VIC",510.33
919,"3378, VIC",448.15
920,"3379, VIC",545.85
921,"3380, VIC",524.77
922,"3381, VIC",573.47
923,"3384, VIC",484.55
924,"3385, VIC",532.98
925,"3387, VIC",457.94
926,"3388, VIC",525.22
927,"3390, VIC",512.45
928,"3391, VIC",573.11
929,"3392, VIC",444.88
930,"3393, VIC",500.85
931,"3395, VIC",540.10
932,"3396, VIC",461.38
933,"3400, VIC",569.26
934,"3401, VIC",577.37
935,"3407, VIC",545.20
936,"3409, VIC",578.76
937,"3412, VIC",514.13
938,"3413, VIC",661.82
939,"3414, VIC",508.63
940,"3415, VIC",603.12
941,"3418, VIC",535.29
942,"3419, VIC",579.59
943,"3420, VIC",542.78
944,"3423, VIC",431.93
945,"3424, VIC",515.08
946,"3427, VIC",610.75
947,"3428, VIC",548.68
948,"3429, VIC",635.34
949,"3430, VIC",709.55
950,"3431, VIC",714.97
951,"3432, VIC",709.18
952,"3433, VIC",634.95
953,"3434, VIC",618.63
954,"3435, VIC",621.17
955,"3437, VIC",714.72
956,"3438, VIC",711.93
957,"3440, VIC",721.35
958,"3441, VIC",889.10
959,"3442, VIC",706.64
960,"3444, VIC",604.31
961,"3446, VIC",574.98
962,"3447, VIC",566.13
963,"3448, VIC",598.92
964,"3450, VIC",559.29
965,"3451, VIC",492.02
966,"3453, VIC",599.36
967,"3458, VIC",606.96
968,"3460, VIC",580.44
969,"3461, VIC",564.68
970,"3462, VIC",482.44
971,"3463, VIC",528.65
972,"3464, VIC",449.60
973,"3465, VIC",442.64
974,"3467, VIC",421.22
975,"3468, VIC",427.82
976,"3469, VIC",461.60
977,"3472, VIC",412.15
978,"3475, VIC",395.76
979,"3477, VIC",493.57
980,"3478, VIC",472.92
981,"3480, VIC",438.48
982,"3482, VIC",383.43
983,"3483, VIC",506.14
984,"3485, VIC",477.40
985,"3487, VIC",462.76
986,"3488, VIC",523.18
987,"3489, VIC",478.30
988,"3490, VIC",507.19
989,"3491, VIC",362.41
990,"3494, VIC",517.59
991,"3496, VIC",483.01
