OCCP - 1 Digit Level,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
"2322, NSW",711,1026,1410,901,1161,833,870,1242,73,41,10187,18453
"2323, NSW",1057,2101,1859,1270,1481,1094,948,1227,88,80,14529,25736
"2324, NSW",851,1117,1560,1032,1151,923,925,1164,82,63,14790,23651
"2325, NSW",1014,1196,1790,1314,1110,1122,1293,1444,86,89,18008,28459
"2326, NSW",196,271,472,325,304,288,409,482,31,14,4542,7333
"2327, NSW",167,253,593,349,318,299,372,473,29,25,4741,7610
"2328, NSW",154,85,201,85,129,64,195,166,13,15,1329,2438
"2329, NSW",215,83,94,79,82,55,111,148,10,4,1239,2111
"2330, NSW",989,1146,1705,854,1039,758,1711,964,90,63,11022,20349
"2331, NSW",21,9,0,265,6,0,3,0,3,7,3,318
"2333, NSW",460,631,1145,516,559,471,1014,681,46,41,8098,13645
"2334, NSW",88,111,275,131,119,109,197,160,9,18,1625,2829
"2335, NSW",326,371,586,263,354,249,475,301,28,10,3195,6156
"2336, NSW",155,111,225,86,116,91,197,175,11,7,1436,2614
"2337, NSW",576,511,626,261,350,266,431,590,39,16,4217,7889
"2338, NSW",105,64,101,60,33,26,72,98,4,0,858,1432
"2339, NSW",91,23,28,19,26,12,39,49,6,6,391,677
"2340, NSW",2651,4002,3104,2315,2665,2212,1419,3018,186,157,27344,49070
"2341, NSW",50,48,58,64,38,49,83,73,0,9,1108,1572
"2342, NSW",74,28,20,18,18,6,21,45,8,0,230,465
"2343, NSW",450,252,230,220,200,138,236,293,16,26,2900,4968
"2344, NSW",98,57,60,26,44,41,28,43,0,6,365,756
"2345, NSW",59,46,52,33,45,27,39,51,4,9,362,720
"2346, NSW",204,118,136,121,112,82,118,175,9,11,2058,3147
"2347, NSW",215,67,59,61,53,44,24,117,4,4,1281,1933
"2350, NSW",1472,2819,1245,1300,1402,1060,390,1155,72,64,14355,25336
"2351, NSW",7,19,4,51,15,50,12,24,7,0,795,976
"2352, NSW",132,183,221,148,141,116,93,190,20,9,1465,2715
"2353, NSW",50,62,79,40,52,38,53,68,3,4,687,1124
"2354, NSW",571,187,169,104,145,106,91,251,10,6,1932,3574
"2355, NSW",67,34,33,23,20,12,21,53,4,0,382,664
"2356, NSW",15,3,5,5,5,0,11,3,0,0,118,160
"2357, NSW",304,245,171,209,141,116,93,181,13,16,2674,4159
"2358, NSW",282,227,237,161,205,134,82,242,17,8,2162,3772
"2359, NSW",78,28,25,33,23,7,15,41,4,10,482,736
"2360, NSW",767,836,803,677,557,632,322,922,53,78,8878,14524
"2361, NSW",100,22,30,40,16,12,21,50,6,0,614,909
"2365, NSW",443,174,181,120,173,117,92,289,11,10,2110,3726
"2369, NSW",35,16,31,32,19,29,20,62,5,3,671,923
"2370, NSW",553,374,366,350,316,251,182,388,27,25,4845,7683
"2371, NSW",114,42,36,35,26,21,28,47,5,9,782,1155
"2372, NSW",384,214,219,180,188,156,130,251,18,21,2979,4742
"2379, NSW",89,13,16,11,12,3,4,22,0,0,151,316
"2380, NSW",650,644,635,438,475,395,679,526,44,50,5848,10390
"2381, NSW",130,49,59,43,39,19,70,104,0,3,668,1190
"2382, NSW",120,46,77,41,50,19,93,79,4,4,783,1322
"2386, NSW",76,19,9,9,6,0,25,21,3,3,196,356
"2387, NSW",48,8,9,5,12,0,12,19,0,0,96,199
"2388, NSW",261,127,113,74,100,92,135,131,15,15,1616,2673
"2390, NSW",604,591,604,365,438,356,432,485,42,35,4797,8755
"2395, NSW",60,15,18,13,13,9,15,31,0,0,497,669
"2396, NSW",76,43,25,31,19,9,19,51,3,7,574,856
"2397, NSW",70,11,10,10,13,3,23,18,4,0,206,380
"2398, NSW",60,9,7,3,11,5,10,24,0,0,103,236
"2399, NSW",77,23,37,19,22,19,28,34,5,3,329,596
"2400, NSW",749,662,558,449,559,366,386,506,43,34,5764,10083
"2401, NSW",63,27,5,4,21,5,19,26,0,0,159,321
"2402, NSW",130,90,85,65,61,49,68,104,15,8,1132,1789
"2403, NSW",105,34,27,27,18,15,20,39,0,4,434,720
"2404, NSW",191,78,70,65,59,41,47,86,3,0,1186,1837
"2405, NSW",121,16,13,13,21,6,27,42,0,5,246,512
"2408, NSW",97,3,4,4,18,9,26,37,0,0,177,372
